reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15.0,35.0,13.0,0,0,0,1,0.0859269000002314,,0.02321349999965605,0.0859269000002314,1.0067823999997927,1.0067823999997927,1.0903183000000354,1.8081027999996877,t,0.7899275999998281,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
78.0,80.0,162.0,0,1,1,6,1.8382388999998511,,1.8121207000003778,1.8382388999998511,2.8231693999996423,2.8231693999996423,2.839813100000356,3.074284500000431,l,0.23715769999944314,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
40.0,55.0,62.0,0,2,2,3,3.0898347000002104,,3.0752148999999918,3.0898347000002104,4.089876400000321,4.089876400000321,4.089876400000321,4.324544799999785,t,0.23206429999936518,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
49.0,60.0,89.0,0,3,3,4,4.33979249999993,,4.325086499999998,4.33979249999993,5.339592299999822,5.339592299999822,5.339592299999822,5.608093099999678,t,0.25682139999935316,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
27.0,50.0,21.0,0,4,4,2,5.623072100000172,,5.6087594999999055,5.623072100000172,6.6229167000001326,6.6229167000001326,6.6229167000001326,6.958475000000362,l,0.2418922000006205,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
67.0,75.0,119.0,0,5,5,5,7.498444599999857,,6.959009100000003,7.498444599999857,7.9593182999997225,7.9593182999997225,8.51002299999982,12.007586300000185,t,4.041888199999448,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
11.0,30.0,7.0,0,6,6,0,12.022831600000245,,12.008074299999862,12.022831600000245,13.02305830000023,13.02305830000023,13.02305830000023,13.29080890000023,l,0.2610695000003034,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
67.0,75.0,119.0,1,0,7,5,13.306223600000521,,13.291626500000348,13.306223600000521,14.306347599999754,14.306347599999754,14.306347599999754,14.493120699999963,l,0.1830126000004384,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
11.0,30.0,7.0,1,1,8,0,14.506307900000138,,14.495480200000202,14.506307900000138,15.5060911999999,15.5060911999999,15.5060911999999,15.657273699999678,l,0.14682579999953305,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
27.0,50.0,21.0,1,2,9,2,15.672778899999685,,15.65811229999963,15.672778899999685,16.6729863999999,16.6729863999999,16.6729863999999,16.79054030000043,l,0.11141630000020086,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
15.0,35.0,13.0,1,3,10,1,16.806037500000457,,16.791729499999747,16.806037500000457,17.806191599999693,17.806191599999693,17.806191599999693,17.823699300000044,l,0.00356149999970512,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
49.0,60.0,89.0,1,4,11,4,17.839228099999673,,17.82450820000031,17.839228099999673,18.839473900000485,18.839473900000485,18.839473900000485,19.09039120000034,l,0.23577060000025085,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
40.0,55.0,62.0,1,5,12,3,19.105866400000195,,19.091522700000496,19.105866400000195,20.10606590000043,20.10606590000043,20.10606590000043,20.50708779999968,l,0.38417890000073385,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
78.0,80.0,162.0,1,6,13,6,20.522338800000398,,20.507571400000415,20.522338800000398,21.52254069999981,21.52254069999981,21.52254069999981,21.706997799999954,l,0.17020530000081635,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
11.0,30.0,7.0,2,0,14,0,21.722382500000094,,21.707478899999842,21.722382500000094,22.722284100000252,22.722284100000252,22.722284100000252,22.823504300000423,l,0.09364220000043133,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
15.0,35.0,13.0,2,1,15,1,22.8389272000004,,22.824410799999896,22.8389272000004,23.838942899999893,23.838942899999893,23.838942899999893,23.906642199999624,l,0.0592343999996956,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
40.0,55.0,62.0,2,2,16,3,23.92229690000022,,23.907098300000143,23.92229690000022,24.92232409999997,24.92232409999997,24.92232409999997,25.106826199999887,l,None,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
78.0,80.0,162.0,2,3,17,6,25.12211389999993,,25.107409400000506,25.12211389999993,26.12240110000039,26.12240110000039,26.12240110000039,26.756699800000206,l,0.620384699999704,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
27.0,50.0,21.0,2,4,18,2,26.771935300000223,,26.757519099999627,26.771935300000223,27.77213440000014,27.77213440000014,27.77213440000014,27.873412500000086,l,0.08593780000046536,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
67.0,75.0,119.0,2,5,19,5,27.88865259999966,,27.873880899999676,27.88865259999966,28.888823700000103,28.888823700000103,28.888823700000103,29.156559600000037,l,0.2523634999997739,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
49.0,60.0,89.0,2,6,20,4,29.17185789999985,,29.157252900000458,29.17185789999985,30.17205019999983,30.17205019999983,30.17205019999983,30.38960390000011,l,0.2050662999999986,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
11.0,30.0,7.0,3,0,21,0,30.405122400000437,,30.39038729999993,30.405122400000437,31.405319000000418,31.405319000000418,31.405319000000418,31.639816800000517,l,0.21758599999975559,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
67.0,75.0,119.0,3,1,22,5,31.655061299999943,,31.64027139999962,31.655061299999943,32.655065699999795,32.655065699999795,32.655065699999795,32.772987600000306,l,0.10458610000023327,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
49.0,60.0,89.0,3,2,23,4,32.788330000000315,,32.77353080000012,32.788330000000315,33.78832880000027,33.78832880000027,33.78832880000027,33.856460300000435,l,0.06499359999997978,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
40.0,55.0,62.0,3,3,24,3,33.87149270000009,,33.85750449999978,33.87149270000009,34.871603499999765,34.871603499999765,34.871603499999765,35.05624499999976,l,0.16927699999996548,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
27.0,50.0,21.0,3,4,25,2,35.071484600000076,,35.05705980000039,35.071484600000076,36.071669799999654,36.071669799999654,36.071669799999654,36.108778099999654,l,0.03322889999981271,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
15.0,35.0,13.0,3,5,26,1,36.121513300000515,,36.109979800000474,36.121513300000515,37.12155150000035,37.12155150000035,37.12155150000035,37.155919099999664,l,0.0288180999996257,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
78.0,80.0,162.0,3,6,27,6,37.17138720000003,,37.15666160000001,37.17138720000003,38.17152900000019,38.17152900000019,38.17152900000019,38.19220800000039,l,0.01642179999998916,None,03,001,2024-11-21_19h08.29.861,PSY310 TASK7,2024.1.5,None,2024-11-21 19h08.38.351259 +0530,
