reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
11.0,30.0,7.0,2,5,19,0,27.11385160000009,,27.100144199999704,27.11385160000009,28.11458390000007,28.11458390000007,28.11458390000007,28.15053220000027,t,0.02991799999927025,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
49.0,60.0,89.0,2,6,20,4,28.163937899999837,,28.151711299999988,28.163937899999837,29.16409299999941,29.16409299999941,29.16409299999941,29.498234599999705,t,0.3184808999994857,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
40.0,55.0,62.0,3,0,21,3,29.516240500000094,,29.499782500000038,29.516240500000094,30.5138780999996,30.5138780999996,30.53038149999975,30.900132400000075,t,0.3711727999998402,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
15.0,35.0,13.0,3,1,22,1,30.913635599999907,,30.901746399999865,30.913635599999907,31.916142299999592,31.916142299999592,31.916142299999592,32.33157870000014,t,0.4108078999997815,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
27.0,50.0,21.0,3,2,23,2,32.34689879999951,,32.33328809999966,32.34689879999951,33.3469740999999,33.3469740999999,33.3469740999999,33.68209719999959,t,0.33172949999971024,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
11.0,30.0,7.0,3,3,24,0,33.69668089999959,,33.68445189999966,33.69668089999959,34.69691899999998,34.69691899999998,34.69691899999998,34.73127680000016,t,0.020531099999971048,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
67.0,75.0,119.0,3,4,25,5,34.746711900000264,,34.73282389999986,34.746711900000264,35.746724200000244,35.746724200000244,35.746724200000244,36.23300569999992,t,0.48069220000070345,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
49.0,60.0,89.0,3,5,26,4,36.246435299999575,,36.23437990000002,36.246435299999575,37.24904040000001,37.24904040000001,37.24904040000001,37.33094489999985,t,0.07068100000014965,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
78.0,80.0,162.0,3,6,27,6,37.34659069999998,,37.33238329999949,37.34659069999998,38.34669649999978,38.34669649999978,38.34669649999978,38.75049200000012,t,0.3965150000003632,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
78.0,80.0,162.0,4,0,28,6,38.76339850000022,,38.75246100000004,38.76339850000022,39.763338300000214,39.763338300000214,39.763338300000214,39.81443750000017,t,0.04425779999928636,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
