reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40.0,55.0,62.0,0,0,0,3,0.06546860000025845,,0.01900740000019141,0.06546860000025845,1.0086961000001793,1.0086961000001793,1.0752265999999508,1.3947041999999783,t,0.37846810000019104,None,02,001,2024-11-21_17h55.20.072,PSY310 TASK7,2024.1.5,None,2024-11-21 17h55.30.091421 +0530,
11.0,30.0,7.0,0,1,1,0,1.4084480999999869,,1.395361899999898,1.4084480999999869,2.408478400000149,2.408478400000149,2.408478400000149,2.692623800000092,t,0.2685037999999622,None,02,001,2024-11-21_17h55.20.072,PSY310 TASK7,2024.1.5,None,2024-11-21 17h55.30.091421 +0530,
78.0,80.0,162.0,0,2,2,6,2.7084585000002335,,2.6931446000003234,2.7084585000002335,3.70854270000018,3.70854270000018,3.70854270000018,3.9758184000002075,t,0.25232169999981124,None,02,001,2024-11-21_17h55.20.072,PSY310 TASK7,2024.1.5,None,2024-11-21 17h55.30.091421 +0530,
15.0,35.0,13.0,0,3,3,1,3.9916410000000724,,3.9767337000002954,3.9916410000000724,4.991689700000279,4.991689700000279,4.991689700000279,5.225738699999965,l,0.22879669999974794,None,02,001,2024-11-21_17h55.20.072,PSY310 TASK7,2024.1.5,None,2024-11-21 17h55.30.091421 +0530,
27.0,50.0,21.0,0,4,4,2,5.241652000000158,,5.2262055000001055,5.241652000000158,6.241553300000305,6.241553300000305,6.241553300000305,6.642363500000101,l,0.38726020000012795,None,02,001,2024-11-21_17h55.20.072,PSY310 TASK7,2024.1.5,None,2024-11-21 17h55.30.091421 +0530,
67.0,75.0,119.0,0,5,5,5,6.658106899999893,,6.642888500000026,6.658106899999893,7.658180200000061,7.658180200000061,7.658180200000061,7.909384800000225,l,0.2491899999999987,None,02,001,2024-11-21_17h55.20.072,PSY310 TASK7,2024.1.5,None,2024-11-21 17h55.30.091421 +0530,
49.0,60.0,89.0,0,6,6,4,7.9247558000001845,,7.909853600000133,7.9247558000001845,8.924739999999929,8.924739999999929,8.924739999999929,9.142194000000018,l,0.2027498000002197,None,02,001,2024-11-21_17h55.20.072,PSY310 TASK7,2024.1.5,None,2024-11-21 17h55.30.091421 +0530,
11.0,30.0,7.0,1,0,7,0,9.158139500000289,,9.142641200000071,9.158139500000289,10.15813210000033,10.15813210000033,10.15813210000033,10.325417699999889,t,0.15650760000016817,None,02,001,2024-11-21_17h55.20.072,PSY310 TASK7,2024.1.5,None,2024-11-21 17h55.30.091421 +0530,
40.0,55.0,62.0,1,1,8,3,10.341359699999884,,10.32593820000011,10.341359699999884,11.341366600000129,11.341366600000129,11.341366600000129,11.625343200000316,l,0.26745109999956185,None,02,001,2024-11-21_17h55.20.072,PSY310 TASK7,2024.1.5,None,2024-11-21 17h55.30.091421 +0530,
27.0,50.0,21.0,1,2,9,2,11.641181400000278,,11.626068099999884,11.641181400000278,12.641278200000215,12.641278200000215,12.641278200000215,12.892149100000097,t,0.23460690000001705,None,02,001,2024-11-21_17h55.20.072,PSY310 TASK7,2024.1.5,None,2024-11-21 17h55.30.091421 +0530,
49.0,60.0,89.0,1,3,10,4,12.907869399999981,,12.892630199999985,12.907869399999981,13.907806600000185,13.907806600000185,13.907806600000185,14.24191490000021,l,0.3225742999998147,None,02,001,2024-11-21_17h55.20.072,PSY310 TASK7,2024.1.5,None,2024-11-21 17h55.30.091421 +0530,
